HCC_N02;HCC_N04;CodeGroupeComptes;MontantTotal;Nombre_Facture;MontantRegularisation;TauxRegularisation;EcartMoyenRegul
REGION IDF;Direction Régionale;Z002;2218.0347188879246;396;521.92685801696769;23.531049968354452;86.834432736515907
REGION IDF;Valorisation Industries;Z002;14044.32081543696;1947;483.49692675602466;3.4426508274047976;48.404501475572886
REGION IDF;VALORISATION ENERGIE;Z002;7520.6111039316584;929;174.16098070907594;2.3157822988350945;-260.93144457137583
REGION IDF;VALO SUD PARIS SEINE;Z002;3297.3038946233428;1224;123.62986921167375;3.7494229577463991;-311.46255606877804
REGION IDF;Opérations communes;Z002;461.89534860229486;72;60.138479980468752;13.019936260984025;-374.95394529998305
REGION IDF;Valorisation Nord Parisien;Z004;49.743739990234388;10;35.1047001953125;70.57109136185619;-399.98772508513929
REGION IDF;Frais Territoire Nord Parisien;Z002;37.970419656753535;47;15.944399612426759;41.991633899655461;-419.148025668025
REGION IDF;STOCKAGE;Z004;22.863170013427734;8;10.162759765625;44.450352946053954;-424.92966551482675
REGION IDF;Valorisation Nord Parisien;Z005;10.364119903564454;3;8.1407200012207035;78.547142226914289;-426.95170527923108
REGION IDF;Frais Territoire Industries;Z002;43.590420175552367;50;7.8487100296020511;18.005584708733757;-427.24371525084973
REGION IDF;SERVICES PARIS SEINE;Z003;34.305090332031263;8;5.7425400390625;16.73961497690793;-429.3498852413893
REGION IDF;Frais Territoire Stockage Valorisation;Z002;38.0659700651169;55;3.0954599990844729;8.13183006708952;-431.9969652813673
REGION IDF;Valorisation Nord Parisien;Z003;95.654439918518065;7;1.5232999649047829;1.5925031459097825;-433.569125315547
REGION IDF;Transport;Z002;39.622880033493047;26;1.2744000244140599;3.2163235568358863;-433.81802525603774
REGION IDF;Moyens communs;Z004;1.06038000488281;1;1.06038000488281;100.0;-434.032045275569
REGION IDF;Frais Territoire Est Parisien;Z002;128.36259857559207;79;0.58011999511718793;0.45193849419896109;-434.51230528533461
REGION IDF;Frais Territoire Paris Seine;Z002;46.403031066894535;24;0.155800003051758;0.33575393561501826;-434.9366252774
REGION IDF;Financier et impots;Z002;38.069399902343761;11;0.0;0.0;-435.09242528045178
REGION IDF;MANTOIS SEINE AVAL;Z003;794.10225;3;0.0;0.0;-435.09242528045178
REGION IDF;Services Industries;Z003;172.5502193603516;12;0.0;0.0;-435.09242528045178
REGION IDF;VALORISATION MATIERES - CLASSE 3;Z003;7.972;2;0.0;0.0;-435.09242528045178
REGION IDF;STOCKAGE;Z003;9.307;2;0.0;0.0;-435.09242528045178
REGION IDF;VALO SUD PARIS SEINE;Z003;0.525030029296875;1;0.0;0.0;-435.09242528045178
REGION IDF;Services Est Parisien;Z003;29.636101074218793;10;0.0;0.0;-435.09242528045178
REGION IDF;VALO SUD PARIS SEINE;Z004;49.76;1;0.0;0.0;-435.09242528045178
REGION IDF;Frais Territoire Stockage Valorisation;Z004;2.3166500244140638;4;0.0;0.0;-435.09242528045178
REGION IDF;VALORISATION ENERGIE;Z004;4.94797998046875;4;0.0;0.0;-435.09242528045178
REGION IDF;Valorisation Industries;Z004;1.8664400024414038;3;0.0;0.0;-435.09242528045178
REGION IDF;Valorisation Est Parisien;Z004;2.1326201171875;1;0.0;0.0;-435.09242528045178
REGION IDF;TRI AGGLO PARISIENNE;Z005;6.50939990234375;1;0.0;0.0;-435.09242528045178
REGION IDF;Direction Régionale;Z005;1.2355;1;0.0;0.0;-435.09242528045178
REGION IDF;Frais Territoire Nord Parisien;Z005;94.00377734375;3;0.0;0.0;-435.09242528045178
REGION CENTRE OUEST;S14 - SECT MORBIHAN;Z002;9591.8109102249418;4388;1705.0724520869244;17.776335126345167;1481.3769656153895
